"Issue","Impact","Fix Time","Severity"
"Route/processes/:id/structurebroken","Process editor completely fails","30 min","ðŸ”´ CRITICAL"
"Cost fieldratevsamountmismatch","Cost calculations silently fail","20 min","ðŸ”´ CRITICAL"
"Route/processes/:id/subprocesseswrong","Cannot add subprocesses","20 min","ðŸ”´ CRITICAL"
"No error fallback for variant load","User sees blank, no retry","1 hour","ðŸ”´ CRITICAL"
"Modals close without validation","Data loss, user confusion","2 hours","ðŸ”´ CRITICAL"
"Production lot execution untested","May corrupt/lose data","3 hours","ðŸŸ  HIGH"
"Google OAuth broken","Cannot login","2 hours","ðŸŸ  HIGH"
"Password reset doesn't send email","Users locked out","1 hour","ðŸŸ  HIGH"
"No error messages in UI","User confusion on failures","2 hours","ðŸŸ  HIGH"
"Duplicate name validation missing","Data integrity risk","1 hour","ðŸŸ¡ MEDIUM"